inorganic_dragonball
[OBJECT:INORGANIC]
	[INORGANIC:KI]
		[STATE_COLOR:ALL_SOLID:YELLOW]
		[STATE_NAME:ALL_SOLID:ki]
		[STATE_ADJ:ALL_SOLID:]
		[STATE_COLOR:LIQUID:YELLOW]
		[STATE_NAME:LIQUID:liquid ki]
		[STATE_ADJ:LIQUID:ki]
		[STATE_COLOR:GAS:YELLOW]
		[STATE_NAME:GAS:ki]
		[STATE_ADJ:GAS:ki]
		[DISPLAY_COLOR:7:0:1]
		[MATERIAL_VALUE:1]
		[SPEC_HEAT:10]
		[IGNITE_POINT:NONE]
		[MELTING_POINT:9000]
		[BOILING_POINT:9001]
		[MAT_FIXED_TEMP:10150]
		[HEATDAM_POINT:NONE]
		[COLDDAM_POINT:NONE]
		[SOLID_DENSITY:2670]
		[LIQUID_DENSITY:3300]
		[MOLAR_MASS:1]
		[IMPACT_YIELD:5000000]
		[IMPACT_FRACTURE:5000000]
		[IMPACT_STRAIN_AT_YIELD:0]
		[COMPRESSIVE_YIELD:5000000]
		[COMPRESSIVE_FRACTURE:5000000]
		[COMPRESSIVE_STRAIN_AT_YIELD:0]
		[TENSILE_YIELD:5000000]
		[TENSILE_FRACTURE:5000000]
		[TENSILE_STRAIN_AT_YIELD:0]
		[TORSION_YIELD:5000000]
		[TORSION_FRACTURE:5000000]
		[TORSION_STRAIN_AT_YIELD:0]
		[SHEAR_YIELD:5000000]
		[SHEAR_FRACTURE:5000000]
		[SHEAR_STRAIN_AT_YIELD:0]
		[BENDING_YIELD:5000000]
		[BENDING_FRACTURE:5000000]
		[BENDING_STRAIN_AT_YIELD:0]
		[MAX_EDGE:100000]
		[ABSORPTION:100]
		[REACTION_CLASS:DFHACK_DISAPPEARS]
	[INORGANIC:KI_POWERFUL]
		[STATE_COLOR:ALL_SOLID:YELLOW]
		[STATE_NAME:ALL_SOLID:ki]
		[STATE_ADJ:ALL_SOLID:]
		[STATE_COLOR:LIQUID:YELLOW]
		[STATE_NAME:LIQUID:liquid ki]
		[STATE_ADJ:LIQUID:ki]
		[STATE_COLOR:GAS:YELLOW]
		[STATE_NAME:GAS:ki]
		[STATE_ADJ:GAS:ki]
		[DISPLAY_COLOR:7:0:1]
		[MATERIAL_VALUE:1]
		[SPEC_HEAT:10]
		[IGNITE_POINT:NONE]
		[MELTING_POINT:9000]
		[BOILING_POINT:9001]
		[MAT_FIXED_TEMP:10150]
		[HEATDAM_POINT:NONE]
		[COLDDAM_POINT:NONE]
		[SOLID_DENSITY:2670]
		[LIQUID_DENSITY:3300]
		[MOLAR_MASS:1]
		[IMPACT_YIELD:5000000]
		[IMPACT_FRACTURE:5000000]
		[IMPACT_STRAIN_AT_YIELD:0]
		[COMPRESSIVE_YIELD:5000000]
		[COMPRESSIVE_FRACTURE:5000000]
		[COMPRESSIVE_STRAIN_AT_YIELD:0]
		[TENSILE_YIELD:5000000]
		[TENSILE_FRACTURE:5000000]
		[TENSILE_STRAIN_AT_YIELD:0]
		[TORSION_YIELD:5000000]
		[TORSION_FRACTURE:5000000]
		[TORSION_STRAIN_AT_YIELD:0]
		[SHEAR_YIELD:5000000]
		[SHEAR_FRACTURE:5000000]
		[SHEAR_STRAIN_AT_YIELD:0]
		[BENDING_YIELD:5000000]
		[BENDING_FRACTURE:5000000]
		[BENDING_STRAIN_AT_YIELD:0]
		[MAX_EDGE:100000]
		[ABSORPTION:100]
		[REACTION_CLASS:DFHACK_DUST]
		[REACTION_CLASS:DFHACK_SPECIFIC_MAT]
		[REACTION_CLASS:KI]
		[REACTION_CLASS:DFHACK_DISAPPEARS]
	[INORGANIC:KI_EXTREME]
		[STATE_COLOR:ALL_SOLID:YELLOW]
		[STATE_NAME:ALL_SOLID:ki]
		[STATE_ADJ:ALL_SOLID:]
		[STATE_COLOR:LIQUID:YELLOW]
		[STATE_NAME:LIQUID:liquid ki]
		[STATE_ADJ:LIQUID:ki]
		[STATE_COLOR:GAS:YELLOW]
		[STATE_NAME:GAS:ki]
		[STATE_ADJ:GAS:ki]
		[DISPLAY_COLOR:7:0:1]
		[MATERIAL_VALUE:1]
		[SPEC_HEAT:10]
		[IGNITE_POINT:NONE]
		[MELTING_POINT:9000]
		[BOILING_POINT:9001]
		[MAT_FIXED_TEMP:10150]
		[HEATDAM_POINT:NONE]
		[COLDDAM_POINT:NONE]
		[SOLID_DENSITY:2670]
		[LIQUID_DENSITY:3300]
		[MOLAR_MASS:1]
		[IMPACT_YIELD:5000000]
		[IMPACT_FRACTURE:5000000]
		[IMPACT_STRAIN_AT_YIELD:0]
		[COMPRESSIVE_YIELD:5000000]
		[COMPRESSIVE_FRACTURE:5000000]
		[COMPRESSIVE_STRAIN_AT_YIELD:0]
		[TENSILE_YIELD:5000000]
		[TENSILE_FRACTURE:5000000]
		[TENSILE_STRAIN_AT_YIELD:0]
		[TORSION_YIELD:5000000]
		[TORSION_FRACTURE:5000000]
		[TORSION_STRAIN_AT_YIELD:0]
		[SHEAR_YIELD:5000000]
		[SHEAR_FRACTURE:5000000]
		[SHEAR_STRAIN_AT_YIELD:0]
		[BENDING_YIELD:5000000]
		[BENDING_FRACTURE:5000000]
		[BENDING_STRAIN_AT_YIELD:0]
		[MAX_EDGE:100000]
		[ABSORPTION:100]
		[REACTION_CLASS:DFHACK_DUST]
		[REACTION_CLASS:DFHACK_SPECIFIC_MAT]
		[REACTION_CLASS:KI]
		[REACTION_CLASS:DFHACK_DRAGONFIRE]
		[REACTION_CLASS:DFHACK_DISAPPEARS]
	[INORGANIC:KAMEHAMEHA_DB]
		[STATE_COLOR:ALL_SOLID:WHITE]
		[STATE_NAME:ALL_SOLID:ki]
		[STATE_ADJ:ALL_SOLID:]
		[STATE_COLOR:LIQUID:WHITE]
		[STATE_NAME:LIQUID:liquid ki]
		[STATE_ADJ:LIQUID:ki]
		[STATE_COLOR:GAS:WHITE]
		[STATE_NAME:GAS:ki]
		[STATE_ADJ:GAS:ki]
		[DISPLAY_COLOR:7:0:1]
